flowId,label,domain,owner_surface,visible_surfaces,route_screen_component,source_file,reachable,duplicate,contradiction,hidden_compat,should_be_visible,should_be_on_demand,current_on_demand_status,notes
captain-task-pickup,captain task pickup,order/delivery,shared,shared,dsh/frontend/shared/dshCrossSurfaceClosureMap.ts,dsh/frontend/shared/dshCrossSurfaceClosureMap.ts,TBD,no,TBD,no,TBD,yes,TBD,2 refs across 1 files
captain-wallet-balance-threshold,captain wallet balance threshold,finance,control-panel,control-panel,dsh/frontend/control-panel/platform/Vars/vars.preview.ts,dsh/frontend/control-panel/platform/Vars/vars.preview.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
captain_dsh_account_docs_view,captain_dsh_account_docs_view,field/onboarding,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,TBD,no,TBD,no,TBD,TBD,TBD,1 refs across 1 files
captain_dsh_account_finance_view,captain_dsh_account_finance_view,finance,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
captain_dsh_account_orders_view,captain_dsh_account_orders_view,order/delivery,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
captain_dsh_account_support_view,captain_dsh_account_support_view,support/communication,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
captain_dsh_order_chat_view,captain_dsh_order_chat_view,support/communication,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
captain_dsh_order_detail_view,captain_dsh_order_detail_view,order/delivery,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
captain_dsh_orders_inbox_view,captain_dsh_orders_inbox_view,order/delivery,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
captain_dsh_orders_map_view,captain_dsh_orders_map_view,order/delivery,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
captain_dsh_orders_pickup_dropoff_view,captain_dsh_orders_pickup_dropoff_view,order/delivery,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
captain_dsh_orders_pod_submission_view,captain_dsh_orders_pod_submission_view,order/delivery,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
captain_dsh_support_directory_view,captain_dsh_support_directory_view,support/communication,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
captain_dsh_support_workspace_view,captain_dsh_support_workspace_view,support/communication,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
