"Surface","ScreenName","UiNodeType","RelativePath","FileName","Extension","OperationCount","Operations","HasUiKitRef","HasLegacyPreview","Decision"
"app-partner","StyleSheet","modal","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_manager_invite.tsx","auto_dsh_partner_manager_invite.tsx",".tsx","1","dsh_partner_manager_invite","True","False","CONVERT_TO_COMPANION_NODE"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_order_accept.tsx","auto_dsh_partner_order_accept.tsx",".tsx","3","dsh_partner_order_accept; dsh_partner_orders; dsh_partner_orders_list","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","screen","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_order_get.tsx","auto_dsh_partner_order_get.tsx",".tsx","5","dsh_partner_order_get; dsh_partner_order_out_for_delivery; dsh_partner_order_store_delivered; dsh_partner_orders; dsh_partner_orders_list","True","False","KEEP_REBUILD_CLEAN"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_order_handoff.tsx","auto_dsh_partner_order_handoff.tsx",".tsx","3","dsh_partner_order_handoff; dsh_partner_orders; dsh_partner_orders_list","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_order_issue_queue.tsx","auto_dsh_partner_order_issue_queue.tsx",".tsx","1","dsh_partner_order_issue_queue","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_order_out_for_delivery.tsx","auto_dsh_partner_order_out_for_delivery.tsx",".tsx","3","dsh_partner_order_out_for_delivery; dsh_partner_orders; dsh_partner_orders_list","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_order_prepare.tsx","auto_dsh_partner_order_prepare.tsx",".tsx","4","dsh_partner_order_get; dsh_partner_order_prepare; dsh_partner_orders; dsh_partner_orders_list","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_order_ready.tsx","auto_dsh_partner_order_ready.tsx",".tsx","4","dsh_partner_order_get; dsh_partner_order_ready; dsh_partner_orders; dsh_partner_orders_list","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_order_reject.tsx","auto_dsh_partner_order_reject.tsx",".tsx","3","dsh_partner_order_reject; dsh_partner_orders; dsh_partner_orders_list","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_order_store_delivered.tsx","auto_dsh_partner_order_store_delivered.tsx",".tsx","3","dsh_partner_order_store_delivered; dsh_partner_orders; dsh_partner_orders_list","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_orders_list.tsx","auto_dsh_partner_orders_list.tsx",".tsx","5","dsh_partner_order_accept; dsh_partner_order_get; dsh_partner_order_reject; dsh_partner_orders; dsh_partner_orders_list","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_profile_get.tsx","auto_dsh_partner_profile_get.tsx",".tsx","2","dsh_partner_profile; dsh_partner_profile_get","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_quick_reply_config_get.tsx","auto_dsh_partner_quick_reply_config_get.tsx",".tsx","2","dsh_partner_quick_reply_config_get; dsh_partner_quick_reply_setup","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_quick_reply_settings.tsx","auto_dsh_partner_quick_reply_settings.tsx",".tsx","2","dsh_partner_quick_reply_config_get; dsh_partner_quick_reply_setup","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_quick_reply_setup.tsx","auto_dsh_partner_quick_reply_setup.tsx",".tsx","2","dsh_partner_quick_reply_setup; dsh_partner_store_get","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_staff_analytics_get.tsx","auto_dsh_partner_staff_analytics_get.tsx",".tsx","1","dsh_partner_staff_analytics_get","True","False","MODIFY_MAJOR"
