"Operation","Source","Files","Surfaces"
"auto_dsh_subscription_tier_get","surfaces","1","unknown"
"auto_dsh_subscription_upgrade_post","surfaces","1","unknown"
"auto_dsh_zone_set","surfaces","1","unknown"
"banner-carousel.runtime","surfaces","1","unknown"
"browserslist","services","3","unknown"
"captainEarningsHistory","surfaces","1","unknown"
"captainFinancialReports","surfaces","1","unknown"
"captainOrderDetails","surfaces","1","unknown"
"captainOrders","surfaces","1","unknown"
"captainPayments","surfaces","1","unknown"
"captainSettlements","surfaces","1","unknown"
"captainTierInfo","surfaces","1","unknown"
"captainWallet","surfaces","1","unknown"
"CategoryClockDial","surfaces","1","unknown"
"categoryGet","surfaces","1","unknown"
"chatSend","surfaces","1","unknown"
"checkoutConstants","surfaces","1","unknown"
"checkoutGate","surfaces","1","unknown"
"clients","api-clients","1","unknown"
"clients.d","api-clients","1","unknown"
"deliveryModes","surfaces","1","unknown"
"DSH_APP_CLIENT_BACKLOG","services","1","unknown"
"dsh_auction_status_update","services","10","unknown"
"dsh_booking_create","services","10","unknown"
"dsh_captain_chat_read_ack","services","10","unknown"
"dsh_captain_chat_send","services","10","unknown"
"dsh_captain_cod_balance","services","10","unknown"
"dsh_captain_job_reject","services","10","unknown"
"dsh_captain_proof_upload","services","10","unknown"
"dsh_captain_tier_evaluate","services","10","unknown"
"dsh_captain_tier_info","services","10","unknown"
"dsh_cart_get","services","10","unknown"
"dsh_cart_init","services","10","unknown"
"dsh_cart_item_add","services","10","unknown"
"dsh_cart_item_remove","services","10","unknown"
"dsh_cart_item_update","services","10","unknown"
"dsh_chat_read_ack","services","10","unknown"
"dsh_chat_send","services","10","unknown"
"dsh_checkout_gate","services","10","unknown"
"DSH_COVERAGE_MATRIX","services","2","unknown"
"dsh_delivery_attempt_create","services","10","unknown"
"dsh_delivery_eta_get","services","10","unknown"
"dsh_delivery_position_update","services","10","unknown"
"dsh_delivery_reassign_request","services","10","unknown"
"dsh_delivery_track_get","services","10","unknown"
"dsh_entitlements_get","services","10","unknown"
"dsh_estimate_create","services","10","unknown"
"dsh_estimate_get","services","10","unknown"
"dsh_external_order_create","services","10","unknown"
"dsh_field_store_activation_request","services","10","unknown"
"dsh_field_store_geo_pin","services","10","unknown"
"dsh_field_store_visit_log","services","10","unknown"
"dsh_listing_status_update","services","10","unknown"
"dsh_loyalty_points_redeem","services","10","unknown"
"dsh_loyalty_points_user_balance","services","10","unknown"
"dsh_loyalty_points_user_history","services","10","unknown"
"DSH_MCPW_SECTION_MAP","services","2","unknown"
"DSH_OPERATION_CATALOG","services","2","unknown"
"dsh_order_accept","services","10","unknown"
"dsh_order_complete","services","10","unknown"
"dsh_order_create","services","10","unknown"
"dsh_order_escrow_hold","services","10","unknown"
"dsh_order_escrow_release","services","10","unknown"
"dsh_order_issue_flag","services","10","unknown"
"dsh_order_proof_code_generate","services","10","unknown"
"dsh_order_proof_verify","services","10","unknown"
"dsh_order_rate","services","10","unknown"
"dsh_order_receipt_get","services","10","unknown"
"dsh_order_status_update","services","10","unknown"
"dsh_orders_list","services","10","unknown"
"dsh_partner_chat_read_ack","services","10","unknown"
"dsh_partner_chat_send","services","10","unknown"
"dsh_partner_delivery_zones_update","services","10","unknown"
"dsh_partner_doc_upload","services","10","unknown"
"dsh_partner_hours_update","services","10","unknown"
"dsh_partner_identity_submit","services","10","unknown"
"dsh_partner_intake_start","services","10","unknown"
"dsh_partner_inventory_adjust","services","10","unknown"
"dsh_partner_inventory_update","services","10","unknown"
"dsh_partner_items_upsert","services","10","unknown"
"dsh_partner_manager_invite","services","10","unknown"
"dsh_partner_order_handoff","services","10","unknown"
"dsh_partner_quick_reply_config_get","services","10","unknown"
"dsh_partner_quick_reply_post","services","10","unknown"
"dsh_partner_quick_reply_setup","services","10","unknown"
"dsh_partner_quick_reply_webhook_post","services","10","unknown"
"dsh_partner_store_create","services","10","unknown"
"dsh_partner_store_get","services","10","unknown"
"dsh_partner_store_service_modes_update","services","10","unknown"
"dsh_partner_store_status_update","services","10","unknown"
"dsh_partner_store_update","services","10","unknown"
"dsh_partner_subscription_analytics_get","services","10","unknown"
"dsh_partner_subscription_get","services","10","unknown"
"dsh_partner_subscription_upgrade_post","services","10","unknown"
"dsh_pricing_preview","services","10","unknown"
"dsh_pricing_snapshot_get","services","10","unknown"
"dsh_promo_apply","services","10","unknown"
"dsh_proxy_request_approve","services","10","unknown"
"dsh_proxy_request_create","services","10","unknown"
"dsh_proxy_request_estimate","services","10","unknown"
"dsh_proxy_request_offer","services","10","unknown"
"dsh_proxy_request_reject","services","10","unknown"
"dsh_proxy_request_schedule","services","10","unknown"
"DSH_RBAC_MATRIX","services","2","unknown"
"dsh_review_create","services","10","unknown"
"DSH_RUNTIME_VARS","services","2","unknown"
"DSH_SEAL_STATUS","services","1","unknown"
"dsh_service_modes_resolve","services","10","unknown"
"DSH_SERVICE_SCOPE","services","2","unknown"
"DSH_SERVICE_SEAL_STATUS","services","1","unknown"
"dsh_store_commission_set","services","10","unknown"
"dsh_store_fulfillment_profile_update","services","10","unknown"
"dsh_store_modes_set","services","10","unknown"
"dsh_store_products","services","10","unknown"
"dsh_store_service_modes_get","services","10","unknown"
"dsh_store_zones_set","services","10","unknown"
"dsh_subscription_bundles_list","services","2","unknown"
"dsh_subscription_categories_get","services","2","unknown"
"dsh_subscription_family_get","services","10","unknown"
"dsh_subscription_family_members_get","services","10","unknown"
"dsh_subscription_family_members_post","services","10","unknown"
"dsh_subscription_sync","services","10","unknown"
"dsh_subscription_tier_get","services","10","unknown"
"dsh_subscription_upgrade_post","services","10","unknown"
"DSH_SURFACES_PARITY_BACKLOG","services","1","unknown"
"DSH_TRACEABILITY","services","1","unknown"
"DSH_TRACEABILITY_MATRIX","services","1","unknown"
"DSH_UNIFIED_OPERATIONS_REFERENCE","services","1","unknown"
"DSH_UX_FLOW","services","1","unknown"
"dsh_zone_set","services","10","unknown"
"dsh-api","api-clients","2","unknown"
"dsh-api.d","api-clients","1","unknown"
"dsh-api.d.ts","api-clients","1","unknown"
"dsh-api.js","api-clients","1","unknown"
"dsh-captain-api","api-clients","2","unknown"
"dsh-captain-api.d","api-clients","1","unknown"
"dsh-captain-api.d.ts","api-clients","1","unknown"
"dsh-captain-api.js","api-clients","1","unknown"
"dsh-cart-api","api-clients","2","unknown"
"dsh-cart-api.d","api-clients","1","unknown"
"dsh-cart-api.d.ts","api-clients","1","unknown"
"dsh-cart-api.js","api-clients","1","unknown"
"dsh-field-partner-api","api-clients","2","unknown"
"dsh-field-partner-api.d","api-clients","1","unknown"
"dsh-field-partner-api.d.ts","api-clients","1","unknown"
"dsh-field-partner-api.js","api-clients","1","unknown"
"dsh-gas-refill-api","api-clients","2","unknown"
"dsh-gas-refill-api.d","api-clients","1","unknown"
"dsh-gas-refill-api.d.ts","api-clients","1","unknown"
"dsh-gas-refill-api.js","api-clients","1","unknown"
"dsh-operations-api","api-clients","2","unknown"
"dsh-operations-api.d","api-clients","1","unknown"
"dsh-operations-api.d.ts","api-clients","1","unknown"
"dsh-operations-api.js","api-clients","1","unknown"
"dsh-orders-api","api-clients","2","unknown"
"dsh-orders-api.d","api-clients","1","unknown"
"dsh-orders-api.d.ts","api-clients","1","unknown"
"dsh-orders-api.js","api-clients","1","unknown"
"dsh-shein.service","services","1","unknown"
"dsh-stores-api","api-clients","2","unknown"
"dsh-stores-api.d","api-clients","1","unknown"
"dsh-stores-api.d.ts","api-clients","1","unknown"
"dsh-stores-api.js","api-clients","1","unknown"
"dsh-thunks","api-clients","1","unknown"
"dsh.controller","services","1","unknown"
"dsh.module","services","1","unknown"
"dsh.service.test","services","1","unknown"
"DshBannersList","surfaces","1","unknown"
"DshCartPrice","surfaces","1","unknown"
"DshCategoriesList","surfaces","1","unknown"
"dshCategoriesSeed","surfaces","1","unknown"
"DshCategoryDetail","surfaces","1","unknown"
"DshCheckoutPaymentMethodSelect","surfaces","1","unknown"
"DshCustomerPreferencesDetail","surfaces","1","unknown"
"DshCustomerProfileDetail","surfaces","1","unknown"
"DshCustomerProfileUpdate","surfaces","1","unknown"
"dshHomeApi","surfaces","1","unknown"
"dshHomeRepository","surfaces","1","unknown"
"dshHomeSeed","surfaces","1","unknown"
"dshHomeTypes","surfaces","1","unknown"
"DshOrdersCreateScreen","surfaces","1","unknown"
"DshPartnerOrderAcceptAltScreen","surfaces","1","unknown"
