"Operation","Surface","ScreenName","UiNodeType","RelativePath","Decision"
"dsh_partner_store_get","app-partner","StyleSheet","screen","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_auction_status_update.tsx","KEEP_REBUILD_CLEAN"
"dsh_partner_store_get","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_zone_set.tsx","MODIFY_MAJOR"
"dsh_partner_store_get","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_quick_reply_setup.tsx","MODIFY_MAJOR"
"dsh_partner_store_get","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_store_get.tsx","MODIFY_MAJOR"
"dsh_partner_store_get","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_store_update.tsx","MODIFY_MAJOR"
"dsh_partner_store_get","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_store_status_update.tsx","MODIFY_MAJOR"
"dsh_partner_store_get","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_store_service_modes_update.tsx","MODIFY_MAJOR"
"dsh_partner_store_get","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_store_nomination.tsx","MODIFY_MAJOR"
"dsh_partner_store_hours","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_hours_update.tsx","MODIFY_MAJOR"
"dsh_partner_store_nominations_post","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_store_nomination.tsx","MODIFY_MAJOR"
"dsh_partner_store_service_modes_update","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_store_service_modes_update.tsx","MODIFY_MAJOR"
"dsh_partner_store_service_modes_update","unknown","WHAT_TO_ADD","component","packages\surfaces\src\dsh\WHAT_TO_ADD.md","MODIFY_MAJOR"
"dsh_partner_store_status","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_store_status_update.tsx","MODIFY_MAJOR"
"dsh_partner_store_status_update","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_store_get.tsx","MODIFY_MAJOR"
"dsh_partner_store_status_update","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_store_status_update.tsx","MODIFY_MAJOR"
"dsh_partner_store_update","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_store_get.tsx","MODIFY_MAJOR"
"dsh_partner_store_update","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_store_update.tsx","MODIFY_MAJOR"
"dsh_partner_store_zones","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_delivery_zones_update.tsx","MODIFY_MAJOR"
"dsh_partner_stores","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_inventory_update.tsx","MODIFY_MAJOR"
"dsh_partner_subscription","app-partner","StyleSheet","screen","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_subscription.tsx","KEEP_REBUILD_CLEAN"
"dsh_partner_subscription_get","app-partner","StyleSheet","screen","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_subscription.tsx","KEEP_REBUILD_CLEAN"
"dsh_partner_subscription_upgrade_post","unknown","WHAT_TO_ADD","component","packages\surfaces\src\dsh\WHAT_TO_ADD.md","MODIFY_MAJOR"
"dsh_partners","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_identity_submit.tsx","MODIFY_MAJOR"
"dsh_partners","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_doc_upload.tsx","MODIFY_MAJOR"
"dsh_partners_intake","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_intake_start.tsx","MODIFY_MAJOR"
"dsh_partners_me_inventory_adjust","app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_inventory_adjust.tsx","MODIFY_MAJOR"
"dsh_payments_empty","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_payments.tsx","KEEP_REBUILD_CLEAN"
"dsh_penalty_delay","unknown","captainEarningsHistory","component","packages\surfaces\src\dsh\fixtures\captainEarningsHistory.ts","MODIFY_MAJOR"
"dsh_penalty_delay","unknown","captainPayments","component","packages\surfaces\src\dsh\fixtures\captainPayments.ts","MODIFY_MAJOR"
"dsh_period_daily","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","KEEP_REBUILD_CLEAN"
"dsh_period_monthly","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_financial_reports.tsx","KEEP_REBUILD_CLEAN"
"dsh_period_monthly","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","KEEP_REBUILD_CLEAN"
"dsh_period_quarterly","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_financial_reports.tsx","KEEP_REBUILD_CLEAN"
"dsh_period_weekly","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","KEEP_REBUILD_CLEAN"
"dsh_period_yearly","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","KEEP_REBUILD_CLEAN"
"dsh_period_yearly","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_financial_reports.tsx","KEEP_REBUILD_CLEAN"
"dsh_pricing_preview","unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_pricing_preview.tsx","KEEP_REBUILD_CLEAN"
"dsh_pricing_snapshot_get","unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_pricing_snapshot_get.tsx","KEEP_REBUILD_CLEAN"
"dsh_pricing_snapshots","unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_pricing_snapshot_get.tsx","KEEP_REBUILD_CLEAN"
"dsh_product_units_and_options_what_to_do","unknown","WHAT_TO_ADD","component","packages\surfaces\src\dsh\WHAT_TO_ADD.md","MODIFY_MAJOR"
"dsh_promo_apply","unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_promo_apply.tsx","KEEP_REBUILD_CLEAN"
"dsh_report_empty","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_financial_reports.tsx","KEEP_REBUILD_CLEAN"
"dsh_review_create","unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_review_create.tsx","KEEP_REBUILD_CLEAN"
"dsh_reviews","unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_review_create.tsx","KEEP_REBUILD_CLEAN"
"dsh_reviews_list","unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_reviews_list.tsx","KEEP_REBUILD_CLEAN"
"dsh_search","unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_search.tsx","KEEP_REBUILD_CLEAN"
"dsh_select_bank_account","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_settlements.tsx","KEEP_REBUILD_CLEAN"
"dsh_service_architecture_ecosystem","unknown","deliveryModes","component","packages\surfaces\src\dsh\deliveryModes.ts","MODIFY_MAJOR"
"dsh_service_modes_resolve","unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_service_modes_resolve.tsx","KEEP_REBUILD_CLEAN"
"dsh_shorts_placement","unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_home_get.tsx","KEEP_REBUILD_CLEAN"
